@relation SpamClsfyTraining

@attribute emailClass {spam,'no spam','?'}
@attribute emailMessage string

@data
spam,'We want to transfer ($26,000.000.00 USD) Twenty six million United States\r\nDollars from a Prime Bank here in South Africa to oversea account. First,\r\nI must solicit your strictest confidence in this transaction. This is by\r\nvirtue of it\'s nature as being utterly confidential. I am sure and have\r\nconfidence of your ability and reliability to prosecute a transaction of\r\nthis great magnitude.\r\n\r\nWe will start the first transfer with Six million [$6,000.000]. Upon\r\nsuccessful transfer without any disappointment from your side, we shall\r\nre-apply for the payment of the remaining balance of 20 million to your\r\naccount.\r\n\r\nThe total amount involved is Twenty six million United States Dollars only\r\n[$26,000.000.00]. I want to first transfer $6,000.000.00 [Six million\r\nUnited States Dollar] from this money into a safe foreigners account\r\nabroad before the rest.\r\n\r\nAt the conclusion of this business, you will be given 35\% of the total\r\namount, 60\% will be for me, while 5\% will be for expenses both parties\r\nmight have incurred during the process of transferring.\r\n\r\nI look forward to your earliest reply through my private email\r\naddress:{hartmannormark@yahoo.com}'
'no spam','Hi All!\r\n \r\nThis is just to share with you the good news that Cody Harris in Hartford, CT has joined our team as a long-term software intern with electronics and other skills.\r\n \r\nAs his first task, Cody has already begun working to continue and complete the SSLab work that Gopi had begun in Bowling Green.  Jake Mendelssohn, who is the School Manager at the Connecticut Science Museum and who is known personally to several of us, recommended to both Cody and myself that we talk.  Cody currently plans to begin studies in Florida soon in aerospace engineering – and hopes to continue working with us throughout his undergraduate studies, for starters.  I believe you will find him a delightful member of the team and a significant contributor to the whole team’s efforts.'
spam,'Consequently, my newly acquired properties were seized again and I had no\r\noption than to leave the country immediately to a neighboring west African\r\ncountry, where I met our Lord Jesus Christ and my life was totally\r\ntransformed. But before I left I was able to first move my money out of\r\nthe country. I had $10,500,000 (Ten Million, Five Hundred Thousand United\r\nStates Dollars) in my domiciliary account in Freetown. I had to move the\r\nmoney out of the Country through a very secret arranged channel, in a very\r\nunconventional method this was done by my friend an official at the\r\nSecurity Minting & Printing Company of my country. Presently, this money\r\nis in an Oversea Country, under the custody of a private security firm.'
'no spam','Today we’re very excited to announce the launch of Dolphin Sonar, the latest invention at Dolphin using voice control. Just shake your phone and tell Dolphin to:  \r\n \r\nSearch the Web, and find websites or search results\r\nSearch eBay, and start shopping\r\nFacebook someone, and find the exact person you are looking for\r\nBookmark, and save your favorite sites for later\r\nNavigate, and breeze through your browser. And much more! '
'no spam','The last processing action taken on your case\r\n\r\n\r\nReceipt Number: WAC1123751289\r\n\r\n\r\nApplication Type: I129 , PETITION FOR A NONIMMIGRANT WORKER\r\n\r\n\r\nYour Case Status: Decision\r\n\r\n\r\nOn December 2, 2011, this I129 PETITION FOR A NONIMMIGRANT WORKER was approved and we sent you an e-mail notice. Please follow any instructions on the notice. If you move before you receive the notice, call customer service at 1-800-375-5283.\r\n\r\n\r\nDuring this step the formal decision (approved/denied) is written and the decision notice is mailed and/or emailed to the applicant/petitioner. You can use our current processing time to gauge when you can expect to receive a final decision.\r\n\r\n\r\n\r\nIf you have questions or concerns about your application or the case status results\r\n\r\nlisted above, or if you have not received a decision from USCIS within the current\r\n\r\nprocessing time listed*, please contact USCIS Customer Service at (800) 375-5283.\r\n\r\n\r\n*Current processing times can be found on the USCIS website at www.uscis.gov under Check Processing Times.\r\n\r\n\r\n*** Please do not respond to this e-mail message.\r\n'
'no spam','Bhavana Tammineni: \r\n\r\nThank you for choosing American Airlines / American Eagle, a member of the oneworld™ Alliance.  Below are your itinerary and receipt for the ticket(s) purchased.  Please print and retain this document for use throughout your trip. \r\n\r\n\r\nRecord Locator: NWKGGF \r\n\r\n\r\nYou may check in and obtain your boarding pass for U.S. domestic electronic tickets within 24 hours of your flight time online at AA.com by using www.aa.com/checkin or at a Self-Service Check-In machine at the airport.  Check-in options may be found at www.aa.com/options.  For information regarding American Airlines checked baggage policies, please visit www.aa.com/baggageinfo.   For faster check-in  at the airport, scan the barcode at any AA Self-Service machine. \r\n\r\nEffective June 1, American Airlines transitioned to cashless cabins on flights within the continental United States and on flights to and from Hawaii, Alaska, and Canada.  For in-flight purchases, we will accept American Express® Cards and other major credit or debit cards only.  American Eagle and American Connection flights will continue to accept cash only. Please visit www.aa.com/cashless.\r\n\r\nYou must present a government-issue photo ID and either your boarding pass or a priority verification card at the security screening checkpoint. \r\n\r\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\nRecord Locator: NWKGGF  \r\n\r\n\r\nCarrier\tFlight Number\tDeparting\tArriving\tBooking\r\nCode\r\nCity\tDate & Time\tCity\tTime\r\n\r\nAmerican Airlines\t3861\tNASHVILLE\tTUE 22DEC\r\n12:50 PM\tCHICAGO OHARE\t2:25 PM\t W \r\n  OPERATED BY AMERICAN EAGLE\r\n Bhavya Tammineni\t \tEconomy\tSeat 10D\tFood For Purchase\r\n\r\nAmerican Airlines\t425\tCHICAGO OHARE\tTUE 22DEC\r\n4:00 PM\tSEATTLE TACOMA\t6:35 PM\t W \r\n Bhavya Tammineni\t \tEconomy\tSeat 22C\tFood For Purchase\r\n\r\nAmerican Airlines\t6815\tSEATTLE TACOMA\tFRI 22JAN\r\n8:30 AM\tCHICAGO OHARE\t2:30 PM\t O \r\n  OPERATED BY ALASKA AIRLINES \r\n  CHECK-IN WITH OPERATING CARRIER\r\n Bhavya Tammineni\t \tEconomy\tSeat 29A\tFood For Purchase\r\n\r\nAmerican Airlines\t3851\tCHICAGO OHARE\tFRI 22JAN\r\n3:35 PM\tNASHVILLE\t4:55 PM\t O \r\n  OPERATED BY AMERICAN EAGLE\r\n Bhavya Tammineni\t \tEconomy\tSeat 12A\tFood For Purchase\r\n\r\n\r\nPASSENGER\r\nBHAVYA TAMMINENI\r\nTICKET NUMBER\r\n0012356470505\r\nFARE-USD\r\n363.73\r\nTAX\r\n68.17\r\nTICKET TOTAL\r\n431.90\r\n\r\nPayment Type: Visa XXXXXXXXXXXX5837\tTotal: $431.90\r\n\r\nYou have purchased a NON-REFUNDABLE fare. The itinerary must be canceled before the ticketed departure time of the first unused coupon or the ticket has no value. If the fare allows changes, a fee may be assessed for changes and restrictions may apply.\r\n\r\nOne or more of your flights is a Codeshare flight and is operated by a Partner Airline. If your journey begins with a flight operated by one of American\'s Partner Airlines, then please check-in with the Partner Airline for that portion of your journey. Upon check-in, they will check your luggage to its final destination and provide boarding passes for your connecting flights, if applicable.\r\n\r\nElectronic tickets are NOT TRANSFERABLE.  Tickets with nonrestrictive fares are valid for one year from original date of issue.  If you have questions regarding our refund policy, please visit www.aa.com/refunds.\r\n\r\nTo change your reservation, please call 1-800-433-7300 and refer to your record locator.\r\n\r\nCheck-in times will vary by departure location.  In order to determine the time you need to check-in at the airport, please visit www.aa.com/airportexpectations.\r\n\r\nA summary of Terms and Conditions of Travel is available by selecting the Conditions of Carriage button below.\r\n\r\n\r\n\r\n\t\t\t\r\n\r\n\r\n\t\t\r\n'
spam,'I am Mr.David Mark. an Auditor of a BANK OF THE NORTH \r\nINTERNATIONAL,ABUJA\r\n(FCT). I have the courage to Crave indulgence for \r\nthis important business\r\nbelieving that you will never let me down \r\neither now or in the future. Some\r\nyears ago, an American Mining \r\nconsultant/ contractor with the Nigeria National\r\nPetroleum Corporation,\r\nmade a numbered time (fixed)deposit for twelve calendar\r\nmonths, valued \r\n$12M.USD (TWELVE MILLION US DOLLARS) in an account. On maturity,\r\nThe \r\nbank sent a routine notification to his forwarding address but got no \r\nreply. This\r\nis the situation, and my proposal \r\nis that I am looking for a foreigner who will\r\nstand in as the next of \r\nkin to beneficiary, and OPEN a Bank Account abroad to\r\nfacilitate the \r\ntransfer of this money. If you are\r\ninterested, please reply immediately through my personal email sending \r\nthe\r\nfollowing details: (1) Your Full Name/Address (2) Your Private \r\nTelephone/fax\r\nNumber. Please observe the utmost confidentiality, and be \r\nrest assured that this\r\ntransaction would be most profitable for both of \r\nus because I shall require your\r\nassistance to invest some of my share \r\nin your country. I look forward to your\r\nearliest reply.'
spam,'I have two options for you.Firstly you can choose to have certain\r\npercentage of the money for nominating your account for this transaction.\r\nOr you can go into partnership with me for the proper profitable\r\ninvestment of the money in your country.Whichever the option you want,feel\r\nfree to notify me.I have also mapped out 5\% of this money for all kinds of\r\nexpenses incurred in the process of this transaction.If you do not prefer\r\na partnership I am willing to give you 10\% of the money while the\r\nremaining 85\% will be for my investment in your country.Contact me with\r\nthis E-mail address (maimo2@lycos.com)while I implore you to maintain the\r\nabsolute secrecy required in this transaction.'
'no spam','Hi Friends,\r\n\r\nAttached Java 2 Sun Certified Programmer & Developer - Kathy Sierra, Bert\r\nBates.\r\nI\'ll send some more attachment in my next mail. \r\n\r\nKeep In Touch'
spam,'I WANT YOU TO\r\nASSIST IN INVESTING THIS MONEY, BUT I WILL NOT\r\nWANT MY IDENTITY REVEALED.\r\n\r\nI WILL ALSO WANT TO BUY PROPERTIES AND STOCK\r\nIN MULTI-NATIONAL COMPANIES AND TO ENGAGE\r\nIN OTHER SAFE AND NON-SPECULATIVE INVESTMENTS.\r\nMAY  I AT THIS POINT EMPHASISE THE HIGH LEVEL OF\r\nCONFIDENTIALITY, WHICH THIS BUSINESS DEMANDS,\r\nAND HOPE YOU WILL NOT BETRAY THE TRUST AND\r\nCONFIDENCE, WHICH I REPOSE IN YOU IN CONCLUSION,\r\n\r\nIN THE EVENT YOU ARE INTRESTED TO ASSIST US I WILL\r\nLIKE YOU TO CONTACT MY LAWYER WHO I HAVE STATIONED IN\r\nHOLLAND TO WITHNESS THE TRANSACTION TO IS\r\nCONCLUTION.YOU CAN REACH HIM ON IS DIRECT LINE WHICH\r\nIS +31-612-722-388 OR VIA MAIL\r\nwillaim_edward1000@canada.com.HIS NAME IS WILLAIM EDWARD AND\r\nI\r\nHAVE THE FALL TRUST IN HIME.\r\n'
spam,'In view of this I acted very fast to withdraw the\r\nUS$15.5M from the company\'s vault well preserved and\r\npacked in cases and deposited it in ECOWAS SECURITY\r\nCOMPANY. I have since declared our Finance\r\ncompany bankrupt  and no record  has ever existed\r\nconcerning the money because there is no document\r\nshowing we received the money from the Chinese firm.\r\n\r\nWe shall have 70\% and the remaining 5\% reserved for\r\ntaxes and other miscellaneous expenses in your\r\ncountry.\r\n\r\nIt is 100\% risk free,contact me through this e-mail\r\naddress  furnishing us with most\r\nconfidential telephone and fax numbers.\r\nI must also use this opportunity to implore you to\r\nexercise the utmost indulgence to keep this\r\ntransaction as a confidential issue.'
'no spam','Dear Gopi Chand Nutakki,\r\n\r\nThis email includes the information you need to confirm your email address: gopichand.nutakki@gmail.com.\r\n\r\n!!!PLEASE NOTE!!!\r\nYour www.WKUDebitCard.com online account is not fully activated for customer service via EasyHelp or telephone until you have at least one confirmed email address.\r\n\r\nTo confirm this email account:\r\n1. Log in at www.WKUDebitCard.com, and log in with your email address and password.\r\n2. Choose \"Profile\" then \"Email\" from the menu bar at the top of the page, or;\r\n3. Click \"Confirm It\" in the Messages box on the Welcome page.\r\n4. Select the appropriate email address from the list of addresses and click \"Confirm.\"\r\n5. You will be asked for a confirmation code.\r\n\r\n------------YOUR CONFIRMATION CODE IS-----------------\r\n                      64372323423425\r\n------------------------------------------------------\r\n\r\n6. Make sure that you type your code in exactly as it appears above.\r\n\r\nWe recommend confirming this email address as soon as possible.\r\n\r\n**If you are a OneAccount holder, and not just signing up to send money, it is especially important to confirm your email because this is how someone who wants to send you money will identify you.\r\n\r\nIf you have any questions, you can get immediate answers or contact customer service securely by using EasyHelp.  To use EasyHelp, login and choose \"Customer Service\", then \"EasyHelp\" from the menu bar.'
spam,'This letter may come to you as a surprise since it is coming from someone\r\nyou have not met before. However, we decided to contact you based on a\r\nsatisfactory information we had about the western world, as regards\r\nbusiness information concerning your country and the safety of our funds\r\nin a steady economy such as that of your country compared to our country\r\nNigeria, Africa.\r\n\r\nDetails should include the following:\r\n\r\n1. New account where there\'s no money in it. \r\n2. Name of Bank.\r\n3. Address of Bank with fax and tel. number.\r\n4. Account number.\r\n5. Beneficiary/Signatory to account(Account name).\r\n\r\nUpon the successful crediting of your account, the fund will be shared as\r\nfollows:\r\n\r\n1. 30\% to you for your assistance.\r\n2. 65\% for myself and my colleagues.\r\n3. 5\% for contingency expenses. \r\n'
'no spam','Hi bhaya...\r\n\r\nNina surf chesthunte i found something, Adi oka API to interact with google search.JAVA Api idi.\r\n\r\nAlso there are some test files used for demo.\r\n\r\nI tried to extract the files in that jar file and tried to run it as a netbeans project, but i think i messed up placing files.\r\n\r\nCan u look at it once and can u convert it to a netbeans project, where i can show those test files to Wang when asked for Demo..:P\r\n\r\nHere is the link\r\nhttp://gsa-japi.sourceforge.net/complete-tut.html'
'no spam','Dear Google Account holder:\r\n\r\n2-step verification was turned off for your account. We are sorry to\r\nsee you go. If you did not turn off 2-step, or want to turn 2-step\r\nverification back on, visit:\r\nhttps://www.google.com/accounts/SmsAuthConfig\r\n\r\nIf you have turned off 2-step verification because your phone or\r\napplications could no longer access your Google Account, learn how to\r\nfix these by using application-specific passwords:\r\nhttp://www.google.com/support/accounts/bin/answer.py?answer=185833\r\n\r\nNow that you\'ve turned off 2-step verification, revoke any\r\napplication-specific passwords you created to authorize applications\r\nand devices to access your Google Account. To revoke\r\napplication-specific passwords, visit:\r\nhttps://www.google.com/accounts/IssuedAuthSubTokens\r\n\r\nIf you have any suggestions for how we can improve 2-step\r\nverification, please let us know:\r\nhttp://www.google.com/support/accounts/bin/request.py?contact_type=2step_feedback\r\n\r\n\r\nIf you have questions about how 2-step verification works or want information about additional\r\nsteps to keep your account secure, you can learn more at the Help Center:\r\nhttp://www.google.com/support/accounts/bin/answer.py?answer=180744&hl=en\r\n'
spam,'After due deliberation with my colleagues, I havedecided to forward\r\nto you this business proposal. We want a reliable person who could\r\nassist us to transfer the sum of Twenty Million Five Hundred Thousand\r\nUnited States Dollars ( $20,500,000 ) into his / her account.This\r\nfund resulted by way of gratification from a contract awarded by us\r\nunder the budget allocation to my Ministry and this bill has been\r\napproved for payment by the concerned Ministries. The contract has\r\nsince been executed, commissioned and the contractor company, paid\r\noff.We are left with the balance of US$20.5M which was given to us by\r\nthe company for influencing the contract in their favour amidst heavy\r\ncompetition from rival companies.But under our protocol division,\r\ncivil servants are forbidden to operate or own foreign accounts. \r\n\r\nConsequent upon your acceptance of this proposal, kindly confirm your interest by Telephone to me, through my\r\nTel No:234-1-7759334 Or Email:ogbemudia@mail.com Your indication\r\nby revert Telephone to me of your sincere and serious interest will\r\nenable me send you the PROCEDURE FOR OPERATION. If my line is busy,\r\nplease keep trying you will surely get through.NOTE: In the event of\r\nyour inability to handle this transaction please inform us so that we\r\ncan look for another reliable person who can assist in this\r\nrespect.It might surprise you why we choose you and trusted you for\r\nthis transaction. Yes, we believe that good friends can be discovered\r\nand business like this can not be realised without trust.'
'no spam','Hiii anna,\r\n\r\nHere is my research paper which is selected for the ACM conference, just wanted to share it with you my implementation details are clearly specified in the paper.'
'no spam','plz forword these files to ur friends.,\r\nIf u find any useful matirial plzzzzzz for ward them to me '
'no spam','Hello Gopi, this is Charles and my partner is Kevin. We are really\r\nbehind in our robot project and we could really use your help. We are\r\nbasically trying to have one of our robots communicate with the other by\r\ndistance. We want robot1 to move forward if and only if robot2 is close\r\nto it. I believe this needs wifi am I correct? Is this possible?\r\nNext if we can get that to work, we then want use Strabo so that the two\r\nrobots will know the dimensions of the room and where all of the objects\r\nare. With this knowledge, robot1 will then \"run away\" from robot2 until\r\nit is caught while robot2 will \"chase\" robot1 until it catches it. Think\r\nof two children running after each other in a room until one catches the\r\nother.\r\nSo again:\r\n1.)Make robot1 move when robot2 is close to it\r\n2.)Make robot1 change direction in the room that will keep it from being\r\ncaught\r\n3.)Make robot2 chase after robot1\r\n4.)Make both robots stop when robot2 touches robot1\r\nIs this possible and can you help us please.\r\nPlease feel free to call me at any time on my cell 615 491 8053\r\nAnd can you give me your cell number as well? THANK YOU!'
'no spam','Hello Sir,\r\n\r\nMay I know when you will be at your office, so that I can return the Printed papers you gave me for the modification.\r\nI believe you have asked for returning them, when I am done.\r\n\r\nI you will not be at your office then I can Scan them as a PDF file and then send it to you (on Saturday as the computer labs will only open from Saturday).'
spam,'Following the cease fire agreement which was reach\r\nlast year with the help of United Nation peace\r\nkeeping troops,I used the opporturnity to leave the\r\ncountry with a very important document\r\n(US$16,000.000m)sixteen million U.S Dollars deposited\r\nby my late father in security company in Dakar\r\nSenegal,under my name.this money was realised from\r\ndiamond  export.\r\n\r\nNow\' I\'m searching for a trusted individual or foreign\r\nfirm whom I can invest this money with  for I am next\r\nof kin to these money.However I contact you based on\r\nyour capability and vast knowledge on international\r\ncommercial investement. For your assistance and\r\nco-opertion I will give you 10\%of the total sum\r\nrealised after the sucessfull transffer of this money.\r\nPlease kindly communicate your acceptance of this\r\nproposal so that we can discuss the modalities of\r\nseeing this transaction through.I count on you\r\ngreately for your assistance.'
'no spam','Your Yahoo! ID is: y3it221_klce\r\nThe password for your Yahoo! ID was recently changed. You don\'t need to do anything, this message is simply a notification to protect the security of your account. Your new password may take a few moments to become active. If it doesn\'t work on your first try, please try it again later.\r\n\r\n- Didn\'t change your password?\r\n1. Someone changed your password on March 15, 2012 at 06:42pm IST. Please sign in to your Yahoo! account to confirm you still have access after the change.\r\n\r\n2. Reset your password (https://edit.yahoo.com/forgot?intl=us&partner=) from any sign-in screen by clicking the forgotten password link.\r\n\r\n3. Visit the Yahoo! Security Center (http://security.yahoo.com) to learn how to protect yourself from phishing attacks.'
spam,'An important client of mine whose\r\n  details and person I cannot release at this point has implored me to\r\n  contact a reliable and trustworthy partner overseas to urgently\r\n  receive and handle funds total FIFTEEN MILLION US DOLLARS(US$15.M)in\r\n  CASH presently lodged in a security/finance outfit in overseas. Due\r\n  to my client inability to travel out of the country presently and the\r\n  fact that we continue to accumulate huge debts daily as long as this\r\n  consignment remains in the security/finance company we need an\r\n  associate and partner to proceed as soon as possible to receive this\r\n  funds for investment purpose as shall be instructed by my client. We\r\n  have agreed in principle to give twenty-percent (25\%) of the total\r\n  sum\r\n  to whom ever shall handle this funds for us while the remaining\r\n  sixty-five percent (65\%)shall be for my client and ten-percent (10\%)\r\n  for me as the attorney. As soon as you are ready to proceed to\r\n  receive\r\n'
'no spam','http://www.swaroopch.info/archives/2006/07/16/map-perl-india/\r\n\r\nYou can read this book online at http://safari.oreilly.com/0596003137 \r\n\r\nPerl Cookbook, 2nd Edition\t\r\nBOOK: Perl Cookbook, 2nd Edition\r\nby Tom Christiansen, Nathan Torkington\r\nPublisher: O\'Reilly\r\nPub Date: August 2003\r\nISBN: 0-596-00313-7\r\nPages: 964\r\nSlots: 1.0\r\nStart Reading\r\nBuy Print Version\r\nTable of Contents\r\n| Index\r\nOverview\r\n\r\nFind a Perl programmer, and you\'ll find a copy of Perl Cookbook\r\nnearby. Perl Cookbook is a comprehensive collection of problems,\r\nsolutions, and practical examples for anyone programming in Perl. The\r\nbook contains hundreds of rigorously reviewed Perl \"recipes\" and\r\nthousands of examples ranging from brief one-liners to complete\r\napplications.\r\n\r\nThe second edition of Perl Cookbook has been fully updated for Perl\r\n5.8, with extensive changes for Unicode support, I/O layers, mod_perl,\r\nand new technologies that have emerged since the previous edition of\r\nthe book. Recipes have been updated to include the latest modules. New\r\nrecipes have been added to every chapter of the book, and some\r\nchapters have almost doubled in size.\r\n\r\nCovered topic areas include:\r\n\r\n*\r\n\r\nManipulating strings, numbers, dates, arrays, and hashes\r\n*\r\n\r\nPattern matching and text substitutions\r\n*\r\n\r\nReferences, data structures, objects, and classes\r\n*\r\n\r\nSignals and exceptions\r\n*\r\n\r\nScreen addressing, menus, and graphical applications\r\n*\r\n\r\nManaging other processes\r\n*\r\n\r\nWriting secure scripts\r\n*\r\n\r\nClient-server programming\r\n*\r\n\r\nInternet applications programming with mail, news, ftp, and telnet\r\n*\r\n\r\nCGI and mod_perl programming\r\n*\r\n\r\nWeb programming\r\n\r\nSince its first release in 1998, Perl Cookbook has earned its place in\r\nthe libraries of serious Perl users of all levels of expertise by\r\nproviding practical answers, code examples, and mini-tutorials\r\naddressing the challenges that programmers face. Now the second\r\nedition of this bestselling book is ready to earn its place among the\r\nranks of favorite Perl books as well.\r\n\r\nWhether you\'re a novice or veteran Perl programmer, you\'ll find Perl\r\nCookbook, 2nd Edition to be one of the most useful books on Perl\r\navailable. Its comfortable discussion style and accurate attention to\r\ndetail cover just about any topic you\'d want to know about. You can\r\nget by without having this book in your library, but once you\'ve tried\r\na few of the recipes, you won\'t want to.\r\n'
spam,'Conclusively, we have agreed to offer you 30\% of the\r\ntotal sum, while 60\% is to be held on trust by you\r\nuntil we decide on a suitable business investment in\r\nyour country more also 10\% is mapped out for internal\r\nand external expenses. Subsequent to our free movement\r\nby the Nigerian Government. Please, reply urgently and\r\ntreat with absolute confidentiality and\r\nsincerity.Reply and include your phone and fax number.\r\n'
spam,'After discussing my view and your profile with my colleagues,they were\r\nvery much satisfied and decided to contact you immediately for this mutual\r\nbusiness relationship.We wish to transfer the sum of USD4.5,000,000.00\r\n(Four Million F ive hundred United States Dollars only.)into your personal\r\nor company`s bankaccount.\r\n\r\nIt is however agreed,as the account owner in this deal to allow you 30\% of \r\nthe entire sum as compensation,65\% will be held on trust for us while 5\% \r\nwill be used to defray any incidental charges and cost during thecourse of \r\nthe transaction.  This transaction will be successfully concluded within 14 days if you accord us your unalloyed and due cooperation.You should provide the followings;\r\n\r\n1)YOUR COMPANY`S NAME WITH COMPLETE ADDRESS,TEL AND FAX NUMBERS.(if \r\navailable)\r\n\r\n2)THE NAME OF YOUR BANK,ITS ADDRESS WITH TEL,FAX AND TELEX NUMBERS.\r\n\r\n3)THE ACCOUNT NUMBER THE COMPLETE MAILING ADRRESS OF THE BENEFICIARY WITH \r\nTELEPHONE AND FAX NUMBERS.'
