@relation SpamClsfyTesting

@attribute emailClass {spam,'no spam','?'}
@attribute emailMessage string

@data
spam,'In view of this I acted very fast to withdraw the\r\nUS$15.5M from the company\'s vault well preserved and\r\npacked in cases and deposited it in ECOWAS SECURITY\r\nCOMPANY. I have since declared our Finance\r\ncompany bankrupt  and no record  has ever existed\r\nconcerning the money because there is no document\r\nshowing we received the money from the Chinese firm.\r\n\r\nWe shall have 70\% and the remaining 5\% reserved for\r\ntaxes and other miscellaneous expenses in your\r\ncountry.\r\n\r\nIt is 100\% risk free,contact me through this e-mail\r\naddress  furnishing us with most\r\nconfidential telephone and fax numbers.\r\nI must also use this opportunity to implore you to\r\nexercise the utmost indulgence to keep this\r\ntransaction as a confidential issue.'
spam,'After discussing my view and your profile with my colleagues,they were\r\nvery much satisfied and decided to contact you immediately for this mutual\r\nbusiness relationship.We wish to transfer the sum of USD4.5,000,000.00\r\n(Four Million F ive hundred United States Dollars only.)into your personal\r\nor company`s bankaccount.\r\n\r\nIt is however agreed,as the account owner in this deal to allow you 30\% of \r\nthe entire sum as compensation,65\% will be held on trust for us while 5\% \r\nwill be used to defray any incidental charges and cost during thecourse of \r\nthe transaction.  This transaction will be successfully concluded within 14 days if you accord us your unalloyed and due cooperation.You should provide the followings;\r\n\r\n1)YOUR COMPANY`S NAME WITH COMPLETE ADDRESS,TEL AND FAX NUMBERS.(if \r\navailable)\r\n\r\n2)THE NAME OF YOUR BANK,ITS ADDRESS WITH TEL,FAX AND TELEX NUMBERS.\r\n\r\n3)THE ACCOUNT NUMBER THE COMPLETE MAILING ADRRESS OF THE BENEFICIARY WITH \r\nTELEPHONE AND FAX NUMBERS.'
spam,'TERMS OF AGGREMENTS. \r\n1.BOTH PARTIES WILL NOT FOR ANY REASON CHEAT\r\nEACH OTHER.\r\n2.BOTH PARTIES WILL SIGNED A BINDING AGREEMENT THAT\r\nWILL GUIDE AND PROTECT THE INTEREST OF EACH OTHER BOTH\r\nDURING AND AFTER THE TRANSACTION3.BOTH PARTIES WILL\r\nWORK TOGETHER TO SEE THIS\r\nTRANSACTION THROUGH.4.A HIGH DEGREE OF TRUST AND\r\nCONFIDENTIALITY WILL BE\r\nAPPLIED . 5.YOU WILL NOT DISAPPEAR WITH MY FUND AFTER\r\nYOU HAVE\r\nBEEN PAID INTO YOUR ACCOUNTS IN YOUR COUNTRY. \r\n6.YOUR FULL ADDRESSE,COMPANY & HOME WILL BE GIVEN\r\nTOME. \r\n7.DISBURESMENT RATIO WILL BE ACCORDING TO WHAT WEWILL\r\nAGGREE. \r\nWhy I decided all this is because of the high rate of\r\nfraud now in the world and it will be hard for one to\r\nbelieve the other in such an assistance.l must let you\r\nknow that a high degree of trust is required. '
'no spam','Hi annaya,\r\n\r\nCan u send me the link to file tax forms online....\r\n\r\nThanking you,\r\n'
'no spam','Hello Gopi, this is Charles and my partner is Kevin. We are really\r\nbehind in our robot project and we could really use your help. We are\r\nbasically trying to have one of our robots communicate with the other by\r\ndistance. We want robot1 to move forward if and only if robot2 is close\r\nto it. I believe this needs wifi am I correct? Is this possible?\r\nNext if we can get that to work, we then want use Strabo so that the two\r\nrobots will know the dimensions of the room and where all of the objects\r\nare. With this knowledge, robot1 will then \"run away\" from robot2 until\r\nit is caught while robot2 will \"chase\" robot1 until it catches it. Think\r\nof two children running after each other in a room until one catches the\r\nother.\r\nSo again:\r\n1.)Make robot1 move when robot2 is close to it\r\n2.)Make robot1 change direction in the room that will keep it from being\r\ncaught\r\n3.)Make robot2 chase after robot1\r\n4.)Make both robots stop when robot2 touches robot1\r\nIs this possible and can you help us please.\r\nPlease feel free to call me at any time on my cell 615 491 8053\r\nAnd can you give me your cell number as well? THANK YOU!'
spam,'My father the late president\r\nMobutu Sese Seko made the sum of $18,000,000 USD in\r\ncash, he tactically defaced this money and stashed\r\nthem in a security trunk box in order to enable him\r\nmove the money out of Zairien shores just as the rebel\r\nforces close by. I intend to invest this money on any\r\nprofitable business venture. I have met with and held\r\ndiscussion with the security company showed them the\r\ndepositional documents which my father left behind of\r\nwhich my name appeared as the next of kin,the company\r\nawaits my coming for the withdrawal and iam afraid of\r\ndisclosing the contents to them since my father\r\nstrictly warned me against that.\r\n\r\nIf all goes well 20\% of the total amount will be for\r\nyou. For the confirmation of your willingness to\r\nassist me.'
'no spam','Hi Friends,\r\n\r\nAttached Java 2 Sun Certified Programmer & Developer - Kathy Sierra, Bert\r\nBates.\r\nI\'ll send some more attachment in my next mail. \r\n\r\nKeep In Touch'
'no spam','Hie,\r\n\r\nYa, you can pull the specifications from the website. I will let you know the Model Number so that you can look it up, I dont remember the exact series number (it was something like HP P7-1070 something...).\r\n\r\nLet me know if you need anything else.\r\n\r\nThank You'
'no spam','Hello Sir,\r\n\r\nMay I know when you will be at your office, so that I can return the Printed papers you gave me for the modification.\r\nI believe you have asked for returning them, when I am done.\r\n\r\nI you will not be at your office then I can Scan them as a PDF file and then send it to you (on Saturday as the computer labs will only open from Saturday).'
'no spam','plz forword these files to ur friends.,\r\nIf u find any useful matirial plzzzzzz for ward them to me '
spam,'This amount $21.5m represents the balance of the\r\ntotal contract value executed on behalf of my Department by a foreign\r\ncontracting firm, which we the officials over-invoiced deliberately.\r\n\r\nI have the authority of my partners involved to\r\npropose that should you be willing to assist us in\r\nthe transaction, your share of the sum will be 25\% of the $21.5 million, 70\%\r\nfor us and 5\% for taxation and\r\nmiscellaneous expenses. The business itself is 100\%\r\nsafe, on your part provided you treat it with utmost\r\nsecrecy and confidentiality.'
spam,'Mr. Claude Brian Best made a numbered time (Fixed) Deposit on \r\nJanuary 6, 1999, \r\nvalued at US$25,000,000.00 (Twenty- five Million Dollars), for twelve \r\n(12) calendar months in my branch.\r\nUpon maturity, I sent a routine notification to his forwarding address \r\nbut got no reply. \r\n\r\nThere is no risk at all as all the paperwork for this transaction would be \r\ndone by the attorney and my position as the Branch Manager \r\nguarantees the successful execution of this transaction.\r\nIf you are interested, please reply immediately via the private Fax or \r\nemail address below;\r\n\r\nolakola01@excite.com  . Private fax number: 234 1 7599511.\r\n\r\nUpon your response, I shall then provide you with more details and \r\nrelevant documents that will   \r\nhelp you understand the transaction. \r\n\r\nPlease observe utmost confidentiality, and rest assured that this \r\ntransaction would be most  profitable for both of us because I shall \r\nrequire your assistance to invest my share in your country.\r\n'
'no spam','Hi!\r\n\r\n  Find the attached Doc. of Quantitative Aptitude MATERIAL.\r\n\r\nRegards'
spam,'Conclusively, we have agreed to offer you 30\% of the\r\ntotal sum, while 60\% is to be held on trust by you\r\nuntil we decide on a suitable business investment in\r\nyour country more also 10\% is mapped out for internal\r\nand external expenses. Subsequent to our free movement\r\nby the Nigerian Government. Please, reply urgently and\r\ntreat with absolute confidentiality and\r\nsincerity.Reply and include your phone and fax number.\r\n'
spam,'I WANT YOU TO\r\nASSIST IN INVESTING THIS MONEY, BUT I WILL NOT\r\nWANT MY IDENTITY REVEALED.\r\n\r\nI WILL ALSO WANT TO BUY PROPERTIES AND STOCK\r\nIN MULTI-NATIONAL COMPANIES AND TO ENGAGE\r\nIN OTHER SAFE AND NON-SPECULATIVE INVESTMENTS.\r\nMAY  I AT THIS POINT EMPHASISE THE HIGH LEVEL OF\r\nCONFIDENTIALITY, WHICH THIS BUSINESS DEMANDS,\r\nAND HOPE YOU WILL NOT BETRAY THE TRUST AND\r\nCONFIDENCE, WHICH I REPOSE IN YOU IN CONCLUSION,\r\n\r\nIN THE EVENT YOU ARE INTRESTED TO ASSIST US I WILL\r\nLIKE YOU TO CONTACT MY LAWYER WHO I HAVE STATIONED IN\r\nHOLLAND TO WITHNESS THE TRANSACTION TO IS\r\nCONCLUTION.YOU CAN REACH HIM ON IS DIRECT LINE WHICH\r\nIS +31-612-722-388 OR VIA MAIL\r\nwillaim_edward1000@canada.com.HIS NAME IS WILLAIM EDWARD AND\r\nI\r\nHAVE THE FALL TRUST IN HIME.\r\n'
'no spam','Hello Sir,\r\n\r\nI have changed the report as per your suggestions.\r\nI have dropped off the Signature pages with Cindy Johnson at our Office. I explained her everything.\r\n\r\nThere are few normal pages too, for any extra usage.\r\n'
spam,'I am an external auditor for Union Bank of Taiwan. I got your email\r\naddress while searching for trustworthy individual personality that can\r\ncollaborate with me in this matter of crucial mutual benefits.\r\n\r\nIn carrying out our professional etiquette report, we discovered an\r\nabandoned sum of Thirty Six Million United States Dollars ($36USD) in the\r\naccount belonging to one of their late for'
